Set	Readback	GL,G	Field,G	Field,G	HPr
Sur.(A)	Current(A)	measur	R=4.85cm	R=5.08cm	G    
-300.	-298.92	-52279.4	-5657.64	-5938.18	-5560
-250.	-249.36	-43945.1	-4755.71	-4991.53	-4669
-200.	-198.01	-35298.7	-3820.00	-4009.42	-3750	
-150.	-149.68	-26480.6	-2865.71	-3007.81	-2811
-100.	-100.11	-17643.0	-1909.31	-2003.99	-1873
-50.	-50.33	-8755.3	-947.49	-994.48	-930
-10.	-10.49	-1648.3	-178.38	-187.22	-175
0	0.02	35.7	25.51	26.78	24
10.	10.47	2119.8	229.40	240.78	221
50.	50.25	9237.0	999.62	1049.19	979
100.	100.02	18137.9	1962.87	2060.20	1929
150.	149.70	26986.4	2920.45	3065.26	2877
200.	199.43	35810.7	3875.41	4067.58	3828
250.	249.05	44466.6	4812.15	5050.76	4760
300.	298.92	52321.4	5667.07	5942.95	5604

--------------------------------------------------------------

