Current (A)	Fractional Current	GL (T) 35.56cm long quad	GL (T) 50cm long quad
0	0	0	0
8.08824	0.02527575	0.4125	0.580005624
16.17647	0.050551469	0.825	1.160011249
24.08088	0.07525275	1.2375	1.740016873
32.16912	0.1005285	1.65	2.320022497
40.07353	0.125229781	2.05625	2.891240157
48.16176	0.1505055	2.475	3.480033746
56.06618	0.175206813	2.8875	4.06003937
64.15441	0.200482531	3.29375	4.63125703
72.05882	0.225183813	3.7	5.202474691
79.96324	0.249885125	4.1	5.764904387
87.86765	0.274586406	4.4625	6.274606299
96.13971	0.300436594	4.76875	6.705216535
104.04412	0.325137875	5.025	7.06552306
112.13235	0.350413594	5.2625	7.399465692
120.22059	0.375689344	5.4875	7.715832396
127.94118	0.399816188	5.68125	7.98825928
143.93382	0.449793188	6.00625	8.445233408
159.92647	0.499770219	6.2375	8.770388076
176.10294	0.550321688	6.43125	9.042814961
191.91176	0.59972425	6.59375	9.271302025
207.90441	0.649701281	6.7375	9.473425197
223.89706	0.699678313	6.88125	9.675548369
239.88971	0.749655344	7.0125	9.860095613
255.88235	0.799632344	7.1375	10.03585489
271.875	0.849609375	7.2625	10.21161417
287.86765	0.899586406	7.375	10.36979753
303.67647	0.948988969	7.4875	10.52798088
319.85294	0.999540438	7.59375	10.67737627
-8.08824	-0.02527575	-0.4125	-0.580005624
-16.17647	-0.050551469	-0.825	-1.160011249
-24.08088	-0.07525275	-1.2375	-1.740016873
-32.16912	-0.1005285	-1.65	-2.320022497
-40.07353	-0.125229781	-2.05625	-2.891240157
-48.16176	-0.1505055	-2.475	-3.480033746
-56.06618	-0.175206813	-2.8875	-4.06003937
-64.15441	-0.200482531	-3.29375	-4.63125703
-72.05882	-0.225183813	-3.7	-5.202474691
-79.96324	-0.249885125	-4.1	-5.764904387
-87.86765	-0.274586406	-4.4625	-6.274606299
-96.13971	-0.300436594	-4.76875	-6.705216535
-104.04412	-0.325137875	-5.025	-7.06552306
-112.13235	-0.350413594	-5.2625	-7.399465692
-120.22059	-0.375689344	-5.4875	-7.715832396
-127.94118	-0.399816188	-5.68125	-7.98825928
-143.93382	-0.449793188	-6.00625	-8.445233408
-159.92647	-0.499770219	-6.2375	-8.770388076
-176.10294	-0.550321688	-6.43125	-9.042814961
-191.91176	-0.59972425	-6.59375	-9.271302025
-207.90441	-0.649701281	-6.7375	-9.473425197
-223.89706	-0.699678313	-6.88125	-9.675548369
-239.88971	-0.749655344	-7.0125	-9.860095613
-255.88235	-0.799632344	-7.1375	-10.03585489
-271.875	-0.849609375	-7.2625	-10.21161417
-287.86765	-0.899586406	-7.375	-10.36979753
-303.67647	-0.948988969	-7.4875	-10.52798088
-319.85294	-0.999540438	-7.59375	-10.67737627
