"Command to create Don's list: select moller_quality.run, run_start, quality, task, comment from moller_quality, moller_settings  where moller_settings.run=moller_quality.run and task='pol'and quality='good' order by moller_quality.run;",,,,
run,run_start,quality,task,comment
16692,7/10/19 22:44,good,pol,
16693,7/10/19 22:50,good,pol,
16694,7/10/19 22:59,good,pol,
16695,7/10/19 23:05,good,pol,
16696,7/10/19 23:08,good,pol,
16697,7/10/19 23:17,good,pol,
16698,7/10/19 23:18,good,pol,
16699,7/10/19 23:28,good,pol,
16700,7/10/19 23:32,good,pol,
16701,7/10/19 23:37,good,pol,
16702,7/10/19 23:45,good,pol,
16705,beam_pol,NULL,,
16706,7/11/19 0:41,good,pol,"HV OFF ch0,4"
16707,7/11/19 0:46,good,pol,"HV OFF ch0,4"
16708,7/11/19 0:52,good,pol,
16709,7/11/19 0:57,good,pol,
16710,7/11/19 1:03,good,pol,
16711,7/11/19 1:10,good,pol,
16712,7/11/19 1:14,good,pol,
16713,7/11/19 1:20,good,pol,
16714,7/11/19 1:27,good,pol,
16857,beam_pol,NULL,,
16858,beam_pol,NULL,,
16859,beam_pol,NULL,,
16860,beam_pol,NULL,,
16861,beam_pol,NULL,,
16885,7/24/19 9:51,good,pol,Short no beam
16886,7/24/19 9:53,good,pol,
16887,7/24/19 9:58,good,pol,
16888,7/24/19 10:02,good,pol,
16889,7/24/19 10:08,good,pol,
16890,7/24/19 10:12,good,pol,
16891,7/24/19 10:23,good,pol,
16892,7/24/19 10:28,good,pol,
16893,7/24/19 10:32,good,pol,
16894,7/24/19 10:36,good,pol,Short
16934,7/24/19 15:30,good,pol,Spin dance verification
16935,7/24/19 15:35,good,pol,Spin dance verification
16936,7/24/19 15:42,good,pol,Spin dance verification
16937,7/24/19 15:46,good,pol,Spin dance verification
16938,7/24/19 15:50,good,pol,Spin dance verification
16939,7/24/19 15:54,good,pol,Spin dance verification
17094,8/5/19 1:28,good,pol,Cycle Q1 prior to this run to 130.9A
17095,8/5/19 1:33,good,pol,Q1 set at 130.9A
17096,8/5/19 1:37,good,pol,Q1 set at 130.9A
17097,8/5/19 1:41,good,pol,Q1 set at 130.9A
17098,8/5/19 1:45,good,pol,Q1 set at 130.9A
17099,8/5/19 1:49,good,pol,Q1 set at 130.9A
17100,8/5/19 1:53,good,pol,Q1 set at 130.9A
17101,8/5/19 1:59,good,pol,Q1 set at 130.9A
17102,8/5/19 2:07,good,pol,Q1 set at 130.9A
17103,8/5/19 2:11,good,pol,Q1 set at 130.9A
17104,8/5/19 2:15,good,pol,Q1 set at 130.9A
17105,8/5/19 2:19,good,pol,Q1 set at 130.9A
17106,8/5/19 2:23,good,pol,Q1 set at 130.9A
17107,8/5/19 2:27,good,pol,Q1 set at 130.9A
17108,8/5/19 2:32,good,pol,Q1 set at 130.9A
17109,8/5/19 2:35,good,pol,Q1 set at 130.9A
17110,8/5/19 2:39,good,pol,Q1 set at 130.9A
17111,8/5/19 2:43,good,pol,Q1 set at 130.9A
17112,8/5/19 2:48,good,pol,Q1 set at 130.9A
17113,8/5/19 2:52,good,pol,Q1 set at 130.9A
17114,8/5/19 2:56,good,pol,Q1 set at 130.9A
17115,8/5/19 3:01,good,pol,Q1 set at 130.9A
17116,8/5/19 3:05,good,pol,Q1 set at 130.9A
17117,8/5/19 3:09,good,pol,Q1 set at 130.9A
17118,8/5/19 3:15,good,pol,Q1 set at 130.9A
17119,8/5/19 3:20,good,pol,Q1 set at 130.9A
17120,8/5/19 3:24,good,pol,Q1 set at 130.9A
17121,8/5/19 3:28,good,pol,Q1 set at 130.9A
17122,8/5/19 3:32,good,pol,Q1 set at 130.9A
17123,8/5/19 3:36,good,pol,Q1 set at 130.9A
17124,8/5/19 3:40,good,pol,Q1 set at 130.9A
17125,8/5/19 3:44,good,pol,Q1 set at 130.9A
17126,beam_pol,NULL,,
17127,beam_pol,NULL,,
17128,beam_pol,NULL,,
17129,beam_pol,NULL,,
17130,beam_pol,NULL,,
17131,beam_pol,NULL,,
17132,beam_pol,NULL,,
17133,beam_pol,NULL,,
17134,beam_pol,NULL,,
17135,beam_pol,NULL,,
17136,beam_pol,NULL,,
17137,beam_pol,NULL,,
17138,beam_pol,NULL,,
17139,beam_pol,NULL,,
17140,beam_pol,NULL,,
17141,beam_pol,NULL,,
17142,beam_pol,NULL,,
17143,beam_pol,NULL,,
17144,beam_pol,NULL,,
17145,beam_pol,NULL,,
17146,beam_pol,NULL,,
17147,beam_pol,NULL,,
17148,beam_pol,NULL,,
17149,beam_pol,NULL,,
17150,beam_pol,NULL,,
17151,beam_pol,NULL,,
17152,beam_pol,NULL,,
17153,beam_pol,NULL,,
17154,beam_pol,NULL,,
17155,beam_pol,NULL,,
17156,beam_pol,NULL,,
17157,beam_pol,NULL,,
17158,beam_pol,NULL,,
17159,beam_pol,NULL,,
17160,beam_pol,NULL,,
17161,beam_pol,NULL,,
17162,beam_pol,NULL,,
17163,beam_pol,NULL,,
17164,beam_pol,NULL,,
17165,beam_pol,NULL,,
17166,beam_pol,NULL,,
17167,beam_pol,NULL,,
17168,beam_pol,NULL,,
17169,beam_pol,NULL,,
17170,beam_pol,NULL,,
17171,beam_pol,NULL,,
17172,beam_pol,NULL,,
17173,beam_pol,NULL,,
17220,8/10/19 13:03,good,pol,
17221,8/10/19 13:07,good,pol,
17241,8/10/19 14:37,good,pol,
17242,8/10/19 14:38,good,pol,
17243,8/10/19 14:44,good,pol,
17244,8/10/19 14:46,good,pol,
17279,8/10/19 17:45,good,pol,
17280,8/10/19 17:48,good,pol,
17281,8/10/19 17:51,good,pol,
17282,8/10/19 17:56,good,pol,
17283,8/10/19 17:58,good,pol,
17284,8/10/19 18:01,good,pol,
17286,8/10/19 18:11,good,pol,
17287,8/10/19 18:14,good,pol,
17288,8/10/19 18:16,good,pol,
17289,8/10/19 18:19,good,pol,
17290,8/10/19 18:21,good,pol,
17291,8/10/19 18:24,good,pol,
17292,8/10/19 18:27,good,pol,
17293,8/10/19 18:29,good,pol,
17294,8/10/19 18:35,good,pol,
17295,8/10/19 18:37,good,pol,
17296,8/10/19 18:40,good,pol,
17297,8/10/19 18:42,good,pol,
17298,8/10/19 18:45,good,pol,
17299,8/10/19 18:47,good,pol,
17300,8/10/19 18:54,good,pol,
17301,8/10/19 18:56,good,pol,
17302,8/10/19 18:58,good,pol,
17303,8/10/19 19:07,good,pol,HWP changed to out
17304,8/10/19 19:09,good,pol,
17305,8/10/19 19:11,good,pol,
17306,8/10/19 19:17,good,pol,
17307,8/10/19 19:21,good,pol,
17308,8/10/19 19:24,good,pol,
17309,8/10/19 19:26,good,pol,
17310,8/10/19 19:29,good,pol,
17311,8/10/19 19:31,good,pol,
17312,8/10/19 19:34,good,pol,
17313,8/10/19 19:36,good,pol,
17314,8/10/19 19:38,good,pol,
17315,8/10/19 19:41,good,pol,
17316,8/10/19 19:43,good,pol,
17317,8/10/19 19:45,good,pol,
17318,8/10/19 19:47,good,pol,
17319,8/10/19 19:49,good,pol,
17320,8/10/19 19:52,good,pol,
17321,8/10/19 19:54,good,pol,
17322,8/10/19 19:56,good,pol,
17323,8/10/19 19:58,good,pol,
17324,8/10/19 20:01,good,pol,
17325,8/10/19 20:03,good,pol,
17326,8/10/19 20:05,good,pol,
17327,8/10/19 20:07,good,pol,
17328,8/10/19 20:09,good,pol,
17329,beam_pol,NULL,,
17330,beam_pol,NULL,,
17331,beam_pol,NULL,,
17332,beam_pol,NULL,,
17333,beam_pol,NULL,,
17334,beam_pol,NULL,,
17335,beam_pol,NULL,,
17336,beam_pol,NULL,,
17337,beam_pol,NULL,,
17338,beam_pol,NULL,,
17339,beam_pol,NULL,,
17340,beam_pol,NULL,,
17341,beam_pol,NULL,,
17342,beam_pol,NULL,,
17343,beam_pol,NULL,,
17344,beam_pol,NULL,,
17345,beam_pol,NULL,,
17346,beam_pol,NULL,,
17347,beam_pol,NULL,,
17348,beam_pol,NULL,,
17349,beam_pol,NULL,,
17350,beam_pol,NULL,,
17351,beam_pol,NULL,,
17352,beam_pol,NULL,,
17353,beam_pol,NULL,,
17354,beam_pol,NULL,,
17355,beam_pol,NULL,,
17356,beam_pol,NULL,,
17357,beam_pol,NULL,,
17358,beam_pol,NULL,,
17359,beam_pol,NULL,,
17360,beam_pol,NULL,,
17361,beam_pol,NULL,,
17362,beam_pol,NULL,,
17363,beam_pol,NULL,,
17364,beam_pol,NULL,,
17365,beam_pol,NULL,,
17366,beam_pol,NULL,,
17367,beam_pol,NULL,,
17368,beam_pol,NULL,,
17369,beam_pol,NULL,,
17370,beam_pol,NULL,,
17371,beam_pol,NULL,,
17372,beam_pol,NULL,,
17373,beam_pol,NULL,,
17374,beam_pol,NULL,,
17375,beam_pol,NULL,,
17376,beam_pol,NULL,,
17377,beam_pol,NULL,,
17378,beam_pol,NULL,,
17379,beam_pol,NULL,,
17380,beam_pol,NULL,,
17381,beam_pol,NULL,,
17382,beam_pol,NULL,,
17383,beam_pol,NULL,,
17384,beam_pol,NULL,,
17385,beam_pol,NULL,,
17386,beam_pol,NULL,,
17387,beam_pol,NULL,,
17388,beam_pol,NULL,,
17389,beam_pol,NULL,,
17390,beam_pol,NULL,,
17391,beam_pol,NULL,,
17392,beam_pol,NULL,,
17393,beam_pol,NULL,,
17394,beam_pol,NULL,,
17395,beam_pol,NULL,,
17396,beam_pol,NULL,,
17397,beam_pol,NULL,,
17398,beam_pol,NULL,,
17399,beam_pol,NULL,,
17400,beam_pol,NULL,,
17401,beam_pol,NULL,,
17402,beam_pol,NULL,,
17403,beam_pol,NULL,,
17404,beam_pol,NULL,,
17405,beam_pol,NULL,,
17406,beam_pol,NULL,,
17407,beam_pol,NULL,,
17408,beam_pol,NULL,,
17409,beam_pol,NULL,,
17410,beam_pol,NULL,,
17411,beam_pol,NULL,,
17412,beam_pol,NULL,,
17413,beam_pol,NULL,,
17414,beam_pol,NULL,,
17415,beam_pol,NULL,,
17416,beam_pol,NULL,,
17417,beam_pol,NULL,,
17418,beam_pol,NULL,,
17419,beam_pol,NULL,,
17420,beam_pol,NULL,,
17453,8/18/19 13:18,good,pol,
17454,8/18/19 13:21,good,pol,
17455,8/18/19 13:25,good,pol,
17456,8/18/19 13:29,good,pol,
17457,8/18/19 13:32,good,pol,
17458,8/18/19 13:34,good,pol,
17459,8/18/19 13:37,good,pol,
17460,8/18/19 13:39,good,pol,
17463,8/18/19 14:04,good,pol,
17464,8/18/19 14:06,good,pol,
17465,8/18/19 14:10,good,pol,
17466,8/18/19 14:14,good,pol,
17467,8/18/19 14:17,good,pol,
17468,8/18/19 14:19,good,pol,
17469,8/18/19 14:21,good,pol,
17470,8/18/19 14:24,good,pol,
17471,8/18/19 14:26,good,pol,
17472,8/18/19 14:28,good,pol,
17473,8/18/19 14:31,good,pol,
17474,8/18/19 14:33,good,pol,
17475,8/18/19 14:35,good,pol,
17476,8/18/19 14:38,good,pol,
17477,8/18/19 14:40,good,pol,
17478,8/18/19 14:44,good,pol,
17479,8/18/19 14:46,good,pol,
17480,8/18/19 14:49,good,pol,
17481,beam_pol,NULL,,
17482,beam_pol,NULL,,
17483,beam_pol,NULL,,
17484,beam_pol,NULL,,
17485,beam_pol,NULL,,
17486,beam_pol,NULL,,
17487,beam_pol,NULL,,
17488,beam_pol,NULL,,
17489,beam_pol,NULL,,
17490,beam_pol,NULL,,
17491,8/18/19 15:15,good,pol,
17492,8/18/19 15:17,good,pol,
17493,8/18/19 15:19,good,pol,
17494,8/18/19 15:22,good,pol,
17495,8/18/19 15:24,good,pol,
17496,8/18/19 15:26,good,pol,
17497,8/18/19 15:28,good,pol,
17521,8/21/19 11:26,good,pol,
17522,8/21/19 11:28,good,pol,
17523,8/21/19 11:31,good,pol,
17524,8/21/19 11:33,good,pol,
17525,8/21/19 11:35,good,pol,
17526,8/21/19 11:38,good,pol,
17527,8/21/19 11:40,good,pol,
17528,8/21/19 11:43,good,pol,
17529,8/21/19 11:45,good,pol,
17530,8/21/19 11:47,good,pol,
17531,8/21/19 11:49,good,pol,
17532,8/21/19 11:51,good,pol,
17533,8/21/19 11:53,good,pol,
17534,8/21/19 11:56,good,pol,
17535,8/21/19 11:58,good,pol,
17536,8/21/19 12:00,good,pol,
17537,8/21/19 12:02,good,pol,
17538,8/21/19 12:04,good,pol,
17539,8/21/19 12:07,good,pol,
17540,8/21/19 12:09,good,pol,
17541,8/21/19 12:11,good,pol,
17542,8/21/19 12:14,good,pol,
17543,8/21/19 12:16,good,pol,
17545,8/21/19 12:35,good,pol,
17546,8/21/19 12:37,good,pol,
17547,8/21/19 12:40,good,pol,
17548,8/21/19 12:42,good,pol,
17549,8/21/19 12:44,good,pol,
17550,8/21/19 12:47,good,pol,
17551,8/21/19 12:51,good,pol,
17552,8/21/19 12:54,good,pol,
17553,8/21/19 12:56,good,pol,
17554,8/21/19 12:59,good,pol,
17555,8/21/19 13:01,good,pol,
17556,8/21/19 13:03,good,pol,
17557,8/21/19 13:06,good,pol,
17558,8/21/19 13:09,good,pol,
17559,8/21/19 13:12,good,pol,
17560,8/21/19 13:14,good,pol,
17561,8/21/19 13:17,good,pol,
17562,8/21/19 13:19,good,pol,
17563,8/21/19 13:32,good,pol,
17564,8/21/19 13:34,good,pol,
17565,8/21/19 13:36,good,pol,
17566,8/21/19 13:39,good,pol,
17567,8/21/19 13:41,good,pol,
17568,8/21/19 13:44,good,pol,
17569,8/21/19 13:46,good,pol,
